"date" "month" "week" "day" "year" "TotalFloodSpace" "TotalRelReducReq" "TotalMcNarySharedWater" "TotalBONSharedWater" "GCSupForVernitaBar" "BRLGSup" "BRRelForJBandLP" "DWLGSup" "DWFirmEngSup" "GCFirmEngSup" "TotalEnergySup" "UpstreamFloodEvacGC" "TotalFloodRelSharedWater" "GCMinFloodRelReq" "ARMinFloodRelReq" "ControlledFlow" "BRIn" "GCIn"
1981-05-10 5 41 10 1981 962258.129385889 0 3978100 3978100 73741.6836048886 69217.3551594962 34566.84828665 0 NA 0 NA NA 3332379.18141098 1327206.79562207 0 373467.894596744 335580.708566001 2265089.91029534
1981-05-17 5 42 17 1981 2497937.12165365 0 2659783.3882325 2659783.3882325 871219.797993174 245542 50493.97922327 0 NA 0 NA NA 889357.386578844 805847.367040413 0 373467.894596744 171478.064842559 1199988.00244359
1981-05-24 5 43 24 1981 1481017.14290555 0 753506.022905553 753506.022905553 753506.022905553 93297.3477788817 54718.8746005601 4.65661287307739e-10 NA 0 NA NA 0 0 0 373467.894596744 211489.577778882 1475587.3588328
1981-05-31 5 44 31 1981 1016582.46539128 0 144535.67269564 144535.67269564 0 50803.4702217574 27958.050686952 0 NA 0 NA NA 0 0 0 373467.894596744 168995.700221757 2167264.57045334
1981-06-07 6 45 7 1981 1760519.90905453 0 750268.248491426 742852.036482859 25179.8637033813 91478.8073753661 54027.606173629 0 NA 0 NA NA 0 0 0 407152.316529612 212170.037375366 1779164.10575813
1981-06-14 6 46 14 1981 1533769.81031674 0 1125972.74544517 1054766.80544517 50055.4837981812 0 65987.879973206 0 NA 0 NA NA 187995.746048182 128636.30889284 59359.4371553427 434659.163036524 141625.230412132 1715842.67110087
1981-06-21 6 47 21 1981 2476952.06239103 0 1366586.41299932 1275370.22728223 476092.54499075 0 68960.543815184 0 NA 0 NA NA 96159.4970158422 93412 2747.49701584224 449600.083874937 241182.421547183 1290896.33273596
1981-06-28 6 48 28 1981 1385047.90159519 0 580750.770270318 540504.931324873 0 0 67070.54923085 0 NA 0 NA NA 0 0 0 442921.423972896 -97030.3906825831 1786229.29868675
1981-07-05 7 49 5 1981 1071594.73324904 0 581707.322300709 423258.600000002 0 0 78763.431264914 0 NA 0 NA NA 146173.159640977 0 146173.159640977 466713.817065081 -193952.749890298 1308590.87171766
1981-07-12 7 50 12 1981 1111719.14161804 0 490247.262451976 411062.37916606 0 0 83778.457880527 0 NA 0 NA NA 0 0 0 481566.6227955 -44816.7048937652 1599370.24863528
1981-07-19 7 51 19 1981 228839.5 0 344206.419014463 285348.29901446 0 0 80130.704707669 0 NA 0 NA NA 285348.29901446 139493 145855.29901446 542281.425011839 -183314.942105852 1690238.36583868
