"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1984-01-29 1 26 29 1984 54347.4832583324 24571674.8634645 3402668.89755583 292370.22474278 1465272.17525722 3194991.61369329 727200
1984-02-05 2 27 5 1984 25939.9284349876 23364976.0383868 2649669.37134936 144112.220256091 1616923.77974391 2551543.13026263 727200
1984-02-12 2 28 12 1984 32128.1473624975 22430439.3967607 3299835.47438625 152769.246759087 1494944.75324091 3196463.8887851 969600
1984-02-19 2 29 19 1984 2942.8374950015 21088751.0186609 2391880.99184236 15983.5539102089 1518408.44608979 2389688.22822826 969600
1984-02-26 2 30 26 1984 0 19794290.6343437 1583312.82984813 0 1543852.22635108 1593311.82984813 832747.773648915
1984-03-04 3 31 4 1984 0 18644570.7025005 938189.783029098 0 1538022.42783189 948188.783029098 726377.572168114
1984-03-11 3 32 11 1984 0 17990360.7673674 1119787.88468689 0 1874179.6342468 1129786.88468689 1381720.3657532
1984-03-18 3 33 18 1984 0 17319730.3638625 376793.445518327 0 2084282.37847969 386792.445518327 1072317.62152031
1984-03-25 3 34 25 1984 0 17371053.7910107 496921.023521578 0 1985474.76366504 506920.023521578 1071825.23633496
1984-04-01 4 35 1 1984 0 16428843.6185445 476885.459139105 0 2222546.28483209 486884.459139105 735453.71516791
1984-04-08 4 36 8 1984 0 16248629.6158089 403908.817569944 0 1976478.73852511 413907.817569944 800021.261474893
1984-04-15 4 37 15 1984 0 16704969.0889316 689792.562928407 0 2484496.69788251 699791.562928407 231703.302117488
1984-04-22 4 38 22 1984 0 17258166.6586282 1027962.58511091 0 2943518.62760857 1037961.58511091 0
1984-04-29 4 39 29 1984 0 17738597.5791945 1534920.2784316 0 2120860.63872554 1544919.2784316 474739.361274461
1984-05-06 5 40 6 1984 0 17160891.0263315 765493.387770905 0 2336731.95182846 775492.387770905 0
1984-05-13 5 41 13 1984 0 17985311.6648637 1042976.22937424 0 2860740.51378774 1052975.22937424 0
1984-05-20 5 42 20 1984 0 19886528.381933 1326600.50609954 0 3076321.13851628 1336599.50609954 0
1984-05-27 5 43 27 1984 0 22616067.4442957 1690721.24260221 0 3118667.46568247 1700720.24260221 0
1984-06-03 6 44 3 1984 0 25406666.8729032 2675083.29660143 0 3159664.5874243 2685082.29660143 0
1984-06-10 6 45 10 1984 0 85400684.9182944 826200.276976606 0 3016287.57317622 836199.276976606 0
1984-06-17 6 46 17 1984 0 34752093.093856 2408974.00234671 0 2914986.88335416 2418973.00234671 0
1984-06-24 6 47 24 1984 0 38718311.1501 2893549.63260528 0 4224658.7860927 2903548.63260528 0
1984-07-01 7 48 1 1984 0 40795128.818194 2930453.00561194 0 3921963.39897223 2940452.00561194 0
1984-07-08 7 49 8 1984 0 42217566.2764428 2670632.18613 0 3122563.26126338 2680631.18613 753136.738736621
1984-07-15 7 50 15 1984 0 72922561.5103453 2371566.16447764 0 2642116.40986741 2381565.16447764 1216483.59013259
1984-07-22 7 51 22 1984 0 381516158.221465 1288316.78856587 0 3156940.06877511 1298315.78856587 684559.931224891
