"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1994-11-27 11 17 27 1994 131012.498602856 767727.025139631 0 149847.299485714 371197.661328572
1994-12-04 12 18 4 1994 130205.225731428 985882.488628572 0 152804.655385714 844380.876620869
1994-12-11 12 19 11 1994 130127.671998572 3061324.74189615 0 152899.862014286 337659.637657143
1994-12-18 12 20 18 1994 128272.332824285 3191110.78818312 0 147713.084228571 409538.164042858
1994-12-25 12 21 25 1994 120395.769434285 2022165.32677431 0 166490.608242858 461663.699142858
1995-01-01 1 22 1 1995 117286.281275714 732395.441053565 0 171088.295014286 526080.493657143
1995-01-08 1 23 8 1995 78409.0511928563 1859257.31547744 0 168583.170685714 502870.873314285
1995-01-15 1 24 15 1995 64749.6768528569 2426830.50852756 0 202089.953528571 590099.9798
1995-01-22 1 25 22 1995 95723.3683342859 2019416.17053322 0 207812.2686 440863.539514286
1995-01-29 1 26 29 1995 102266.507912859 2599951.08619976 0 233010.289628571 654309.731309379
1995-02-05 2 27 5 1995 292936.232885714 2489349.4016888 0 192936.232885714 1028362.11023965
1995-02-12 2 28 12 1995 274416.812585714 2728274.45907581 0 274416.812585714 534979.423728571
1995-02-19 2 29 19 1995 334281.947242857 2207771.32647882 0 334281.947242857 1283672.85902228
1995-02-26 2 30 26 1995 315185.084328572 1988615.53209151 0 315185.084328572 953953.635528573
1995-03-05 3 31 5 1995 348791.692971429 1461205.68091371 0 298791.692971429 775787.330985714
1995-03-12 3 32 12 1995 325153.932985714 3428787.77477079 0 325153.932985714 1286400.15894286
1995-03-19 3 33 19 1995 335946.001028571 3025100.45368957 0 335946.001028571 1269570.35387143
1995-03-26 3 34 26 1995 302179.383428571 1425519.37502915 0 302179.383428571 920848.308128572
1995-04-02 4 35 2 1995 250349.617642857 1896885.29339156 0 225349.617642857 840315.401185718
1995-04-09 4 36 9 1995 317257.732671428 1659223.9973909 0 317257.732671429 860264.035628575
1995-04-16 4 37 16 1995 399909.069742857 1647410.33366953 0 399909.069742857 779855.103914289
1995-04-23 4 38 23 1995 357988.318457143 1735860.78220542 0 357988.318457143 789473.940342855
1995-04-30 4 39 30 1995 569119.017314286 2253786.3274878 0 569119.017314286 935861.082185717
1995-05-07 5 40 7 1995 64328.1223874728 1790039.25 0 450116.635285714 1409249.07547143
