"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit" "Total_ORCEnergyContent"
2032-11-07 11 15 7 2032 2089477.14950488 NA 255773.313353775 1707209.71064623 0 1203100 164606.498869578
2032-11-14 11 16 14 2032 2450953.37363932 NA 991407.219367579 971575.804632421 5496.13768433216 1106640 279406.021169342
2032-11-21 11 17 21 2032 2441081.28715544 NA 933164.819829505 1029818.2041705 84724.9244796869 1106640 387200.127053965
2032-11-28 11 18 28 2032 2428455.92012873 NA 952590.231521053 1010392.79247895 92550.0517041294 998520 412559.948993337
2032-12-05 12 19 5 2032 2590234.14294725 NA 103552.355531794 2182955.67646821 454015.545006857 998520 539937.980736203
2032-12-12 12 20 12 2032 2623291.35942901 NA 147441.282134612 2139066.74986539 363510.447590422 998520 453886.470831325
2032-12-19 12 21 19 2032 2953193.38940877 NA 1091247.41001119 1195260.62198881 69682.4909861762 998520 303838.52075877
2032-12-26 12 22 26 2032 2478298.66156344 NA 820191.419638229 1466316.61236177 78549.5829841155 998520 342839.293534284
2033-01-02 1 23 2 2033 3057925.87353562 NA 883323.278625063 1393260.67337494 7003199.51109516 1010180 8020409.02065168
2033-01-09 1 24 9 2033 2596719.62524484 NA 520516.061929387 1756067.89007061 5104486.91868808 1010180 5975069.05342898
2033-01-16 1 25 16 2033 2122297.20673759 NA 354411.157692529 1922172.79430747 3428914.51152084 1010180 4262168.35311558
2033-01-23 1 26 23 2033 1842514.97588819 NA 597264.390812462 1679319.56118754 2021316.77093406 1010180 3025723.59685336
2033-01-30 1 27 30 2033 1803247.00203142 NA 520063.221286797 1756520.7307132 922628.108624424 1022900 1744856.75436432
2033-02-06 2 28 6 2033 1628547.32423419 NA 231299.464518177 1886499.20748182 2141133.86018042 1092860 2702840.06560439
2033-02-13 2 29 13 2033 1163273.32090083 NA 328974.802820278 1788823.86917972 706843.030063685 1022900 1379009.86893732
2033-02-20 2 30 20 2033 908015.164636145 NA 1073600.16087984 1044198.51112016 90110.7884553823 1022900 656945.879449951
2033-02-27 2 31 27 2033 701899.340406577 NA 1197448.5492967 920350.122703303 1817.16300464737 1022900 555947.58916211
2033-03-06 3 32 6 2033 1352443.43756223 NA 13203.8575890355 1848553.55041096 244716.07991772 1092860 1133060.86133311
2033-03-13 3 33 13 2033 1710443.73129386 NA 0 2184059.78765314 686770.345006509 770557.620346865 1643624.47959491
2033-03-20 3 34 20 2033 1717260.76080415 NA 0 1985827.84897364 527823.857067396 991049.559026362 1545383.70067902
2033-03-27 3 35 27 2033 1796803.24426215 NA 0 2120234.9397239 403980.308514505 856642.468276103 1413819.21024708
2033-04-03 4 36 3 2033 1868197.54230303 NA 0 2315670.58508335 263782.613716813 591575.25491665 1105506.95452009
2033-04-10 4 37 10 2033 1694349.87699752 NA 0 2361673.52940433 58654.984327428 545572.310595667 395708.071800067
2033-04-17 4 38 17 2033 2476058.09720999 NA 0 2033720.47815032 0 1054143.61784968 160628.467090344
2033-04-24 4 39 24 2033 4804296.96651426 NA 219418.520381333 1678065.57561867 0 1190380 524373.59373088
2033-05-01 5 40 1 2033 5475865.1194997 NA 0 3768858.07412817 886764.775218286 0 1203384.79203178
2033-05-08 5 41 8 2033 4421952.05725095 NA 0 2987727.61101302 431257.236761301 363007.716986984 858122.313822782
2033-05-15 5 42 15 2033 4232731.13252214 NA 448355.261144574 1651580.06685543 0 1250800 418097.277547152
2033-05-22 5 43 22 2033 4837864.30988883 NA 759828.009246122 1340107.31875388 0 1250800 601805.718907238
2033-05-29 5 44 29 2033 6633881.05677674 NA 676944.50160916 1422990.82639084 0 1250800 787975.876600796
2033-06-05 6 45 5 2033 7098828.87487267 NA 0 2280527.98382871 0 869234.36817129 611513.679556962
2033-06-12 6 46 12 2033 8781306.81654351 NA 0 2818192.62840747 0 331569.723592526 463117.012409405
2033-06-19 6 47 19 2033 13055997.9451975 NA 0 2503050.08313599 0 646712.26886401 184079.049729715
2033-06-26 6 48 26 2033 7890224.68466426 NA 0 3199312.36566366 145355.238834409 0 145355.238834409
2033-07-03 7 49 3 2033 11513278.7847828 NA 0 2281515.05037848 0 671649.509621518 0
2033-07-10 7 50 10 2033 7758985.00798468 NA 149133.983163179 1905150.57683682 0 898880 0
2033-07-17 7 51 17 2033 9086185.76014074 NA 0 2182433.1086672 0 770731.4513328 0
2033-07-24 7 52 24 2033 7351487.56965803 NA 69036.8328721339 1985247.72712787 0 898880 0
2033-07-31 7 52 31 2033 7392151.0576673 NA 0 2641819.81560949 0 311344.744390508 0
2033-08-07 8 1 7 2033 23098590.1948677 NA 0 3501690.33342282 998797.353593034 0 998797.353593034
2033-08-14 8 2 14 2033 41666913.5346732 NA 0 3032885.06082914 0 0 0
2033-08-21 8 3 21 2033 1834728.27771123 NA 490440.262110227 1432846.44188977 0 904180 0
2033-08-28 8 4 28 2033 1421395.56322228 NA 535745.480360652 1345860.08763935 0 904180 16300.0472611534
2033-09-04 9 5 4 2033 912761.678515325 NA 648221.982635245 1233383.58536476 0 904180 60761.4420014399
2033-09-11 9 6 11 2033 748478.684866634 NA 818837.449224966 921846.182775034 0 988980 240989.9809791
2033-09-18 9 7 18 2033 663557.17861171 NA 874371.425482396 866312.206517604 0 988980 338646.16319197
2033-09-25 9 8 25 2033 918090.798031207 NA 656166.527946637 1084517.10405336 39854.3794627559 988980 564913.570481695
2033-10-02 10 9 2 2033 990138.460029518 NA 611420.427521733 1129263.20447827 62847.9897868044 988980 482852.629805022
2033-10-09 10 10 9 2033 1281965.27718523 NA 728111.301187022 899437.818812978 33096.9142179437 1125720 404504.016259506
2033-10-16 10 11 16 2033 1513810.59020936 NA 768035.650568638 859513.469431362 44138.287505919 1125720 385751.080781682
2033-10-23 10 12 23 2033 1539897.795407 NA 657408.363758118 970140.756241882 41290.200964234 1125720 328723.707608721
2033-10-30 10 13 30 2033 1646670.15155937 NA 771707.878225825 855841.241774175 34108.5319420045 1125720 322388.324456827
2033-11-06 11 14 6 2033 1495976.366655 NA 771056.735953144 856492.384046856 25735.8182469173 1203100 332443.174896061
2033-11-13 11 15 13 2033 1913327.27918966 NA 281718.358696846 1681264.66530315 195928.113304413 1203100 489525.827947183
2033-11-20 11 16 20 2033 1951811.90669173 NA 746282.733040551 1216700.29095945 54676.0965909593 1106640 384686.998597032
2033-11-27 11 17 27 2033 2126128.21369607 NA 724081.089804495 1238901.93419551 167531.12696854 1106640 574936.227311022
2033-12-04 12 18 4 2033 2187627.16684553 NA 312396.161019203 1650586.8629808 292767.134712616 998520 584754.150540429
2033-12-11 12 19 11 2033 2802775.81229815 NA 623365.861575231 1663142.17042477 366497.795163622 998520 716435.623549691
