CellID GWFraction ReturnFlowFraction NumCrops Long Lat Area StnName StnID
260972 0.35 0 5 -112.28125 42.59375 35.519894031398 AMERI 50
260973 0.35 0 5 -112.21875 42.59375 35.519894031398 AMERI 50
260974 0.35 0 8 -112.15625 42.59375 35.519894031398 AMERI 50
260975 0.35 0 4 -112.09375 42.59375 35.519894031398 AMERI 50
260976 0.35 0 5 -112.03125 42.59375 35.519894031398 AMERI 50
260977 0.35 0 4 -111.96875 42.59375 35.519894031398 AMERI 50
260978 0.35 0 3 -111.90625 42.59375 35.519894031398 AMERI 50
260994 0.35 0 4 -110.90625 42.59375 35.519894031398 PALIS 33
261801 0.35 0 2 -118.46875 42.65625 35.4842517536862 OWYHE 65
261810 0.35 0 2 -117.90625 42.65625 35.4842517536862 OWYHE 65
261855 0.35 0 5 -115.09375 42.65625 35.4842517536862 BROWN 6
261856 0.35 0 2 -115.03125 42.65625 35.4842517536862 BROWN 6
261857 0.35 0 8 -114.96875 42.65625 35.4842517536862 SNKHI 64
261858 0.35 0 10 -114.90625 42.65625 35.4842517536862 SNKHI 64
261859 0.35 0 8 -114.84375 42.65625 35.4842517536862 SNKHI 64
261860 0.35 0 6 -114.78125 42.65625 35.4842517536862 SNKHI 64
261861 0.35 0 9 -114.71875 42.65625 35.4842517536862 SNKHI 64
261862 0.35 0 8 -114.65625 42.65625 35.4842517536862 SNKHI 64
261863 0.35 0 9 -114.59375 42.65625 35.4842517536862 SNKHI 64
261864 0.35 0 5 -114.53125 42.65625 35.4842517536862 SNKHI 64
261865 0.35 0 9 -114.46875 42.65625 35.4842517536862 SNKHI 64
261866 0.35 0 9 -114.40625 42.65625 35.4842517536862 SNKHI 64
261867 0.35 0 7 -114.34375 42.65625 35.4842517536862 SNKHI 64
261868 0.35 0 7 -114.28125 42.65625 35.4842517536862 SNKHI 64
261869 0.35 0 8 -114.21875 42.65625 35.4842517536862 SNKHI 64
261870 0.35 0 9 -114.15625 42.65625 35.4842517536862 SNKHI 64
261871 0.35 0 9 -114.09375 42.65625 35.4842517536862 SNKHI 64
261872 0.35 0 8 -114.03125 42.65625 35.4842517536862 SNKHI 64
261873 0.35 0 9 -113.96875 42.65625 35.4842517536862 SNKHI 64
261874 0.35 0 10 -113.90625 42.65625 35.4842517536862 MILNE 63
261875 0.35 0 10 -113.84375 42.65625 35.4842517536862 MILNE 63
261876 0.35 0 9 -113.78125 42.65625 35.4842517536862 MILNE 63
261877 0.35 0 9 -113.71875 42.65625 35.4842517536862 MILNE 63
261878 0.35 0 8 -113.65625 42.65625 35.4842517536862 MILNE 63
261879 0.35 0 8 -113.59375 42.65625 35.4842517536862 MILNE 63
261880 0.35 0 8 -113.53125 42.65625 35.4842517536862 MINAD 51
261881 0.35 0 2 -113.46875 42.65625 35.4842517536862 MINAD 51
261885 0.35 0 3 -113.21875 42.65625 35.4842517536862 MINAD 51
261886 0.35 0 3 -113.15625 42.65625 35.4842517536862 MINAD 51
261887 0.35 0 8 -113.09375 42.65625 35.4842517536862 MINAD 51
261888 0.35 0 3 -113.03125 42.65625 35.4842517536862 MINAD 51
261890 0.35 0 7 -112.90625 42.65625 35.4842517536862 MINAD 51
261891 0.35 0 5 -112.84375 42.65625 35.4842517536862 MINAD 51
261895 0.35 0 3 -112.59375 42.65625 35.4842517536862 AMERI 50
261896 0.35 0 4 -112.53125 42.65625 35.4842517536862 AMERI 50
261901 0.35 0 4 -112.21875 42.65625 35.4842517536862 AMERI 50
261902 0.35 0 3 -112.15625 42.65625 35.4842517536862 AMERI 50
261903 0.35 0 3 -112.09375 42.65625 35.4842517536862 AMERI 50
261904 0.35 0 4 -112.03125 42.65625 35.4842517536862 AMERI 50
261906 0.35 0 7 -111.90625 42.65625 35.4842517536862 AMERI 50
261907 0.35 0 11 -111.84375 42.65625 35.4842517536862 AMERI 50
261908 0.35 0 8 -111.78125 42.65625 35.4842517536862 AMERI 50
261909 0.35 0 7 -111.71875 42.65625 35.4842517536862 AMERI 50
261921 0.35 0 4 -110.96875 42.65625 35.4842517536862 PALIS 33
261922 0.35 0 4 -110.90625 42.65625 35.4842517536862 PALIS 33
262729 0.35 0 3 -118.46875 42.71875 35.4485672528488 OWYHE 65
262740 0.35 0 1 -117.78125 42.71875 35.4485672528488 OWYHE 65
262785 0.35 0 5 -114.96875 42.71875 35.4485672528488 SNKHI 64
