Long Lat CellID StnID WRIA_ID StnNum ConveyanceLoss GridArea GW_historical GW_Future ReturnFlow
-117.28125 48.15625 343484 ALBEN 55 1 0.2 32.1873280566904 0.2 0.2 0
-117.21875 48.15625 343485 ALBEN 55 1 0.2 32.1873280566904 0.2 0.2 0
-117.15625 48.15625 343486 ALBEN 55 1 0.2 32.1873280566904 0.2 0.2 0
-117.09375 48.15625 343487 ALBEN 55 1 0.2 32.1873280566904 0.2 0.2 0
-117.03125 48.15625 343488 ALBEN 55 1 0.2 32.1873280566904 0.2 0.2 0
-116.96875 48.15625 343489 ALBEN NA 1 0.2 32.1873280566904 0.2 0.2 0
-116.90625 48.15625 343490 ALBEN NA 1 0.2 32.1873280566904 0.2 0.2 0
-116.84375 48.15625 343491 ALBEN NA 1 0.2 32.1873280566904 0.2 0.2 0
-116.78125 48.15625 343492 ALBEN NA 1 0.2 32.1873280566904 0.2 0.2 0
-116.71875 48.15625 343493 ALBEN NA 1 0.2 32.1873280566904 0.2 0.2 0
-116.65625 48.15625 343494 ALBEN NA 1 0.2 32.1873280566904 0.2 0.2 0
-116.59375 48.15625 343495 ALBEN NA 1 0.2 32.1873280566904 0.2 0.2 0
-116.53125 48.15625 343496 ALBEN NA 1 0.2 32.1873280566904 0.2 0.2 0
-116.46875 48.15625 343497 ALBEN NA 1 0.2 32.1873280566904 0.2 0.2 0
-116.40625 48.15625 343498 ALBEN NA 1 0.2 32.1873280566904 0.2 0.2 0
-116.34375 48.15625 343499 ALBEN NA 1 0.2 32.1873280566904 0.2 0.2 0
-116.28125 48.15625 343500 ALBEN NA 1 0.2 32.1873280566904 0.2 0.2 0
-116.21875 48.15625 343501 ALBEN NA 1 0.2 32.1873280566904 0.2 0.2 0
-116.15625 48.15625 343502 ALBEN NA 1 0.2 32.1873280566904 0.2 0.2 0
-116.09375 48.15625 343503 ALBEN NA 1 0.2 32.1873280566904 0.2 0.2 0
-116.03125 48.15625 343504 ALBEN NA 1 0.2 32.1873280566904 0.2 0.2 0
-117.28125 48.09375 342556 ALBEN 55 1 0.2 32.2265180396693 0.2 0.2 0
-117.15625 48.09375 342558 ALBEN 55 1 0.2 32.2265180396693 0.2 0.2 0
-117.09375 48.09375 342559 ALBEN 57 1 0.2 32.2265180396693 0.2 0.2 0
-117.03125 48.09375 342560 ALBEN 57 1 0.2 32.2265180396693 0.2 0.2 0
-116.96875 48.09375 342561 ALBEN NA 1 0.2 32.2265180396693 0.2 0.2 0
-116.90625 48.09375 342562 ALBEN NA 1 0.2 32.2265180396693 0.2 0.2 0
-116.84375 48.09375 342563 ALBEN NA 1 0.2 32.2265180396693 0.2 0.2 0
-116.78125 48.09375 342564 ALBEN NA 1 0.2 32.2265180396693 0.2 0.2 0
-116.71875 48.09375 342565 ALBEN NA 1 0.2 32.2265180396693 0.2 0.2 0
-116.65625 48.09375 342566 ALBEN NA 1 0.2 32.2265180396693 0.2 0.2 0
-116.59375 48.09375 342567 ALBEN NA 1 0.2 32.2265180396693 0.2 0.2 0
-116.53125 48.09375 342568 ALBEN NA 1 0.2 32.2265180396693 0.2 0.2 0
-116.46875 48.09375 342569 ALBEN NA 1 0.2 32.2265180396693 0.2 0.2 0
-116.40625 48.09375 342570 ALBEN NA 1 0.2 32.2265180396693 0.2 0.2 0
-116.34375 48.09375 342571 ALBEN NA 1 0.2 32.2265180396693 0.2 0.2 0
-116.28125 48.09375 342572 ALBEN NA 1 0.2 32.2265180396693 0.2 0.2 0
